	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
190	-3.27379	0.00287719	16.8645	0.00220567
191	-3.28241	0.00280154	16.8892	0.00216954
192	-3.30223	0.00270578	16.9386	0.00210792
193	-3.32411	0.0027427	16.9943	0.00214928
194	-3.34254	0.00263733	17.0357	0.00206216
195	-3.35178	0.00276544	17.0779	0.0021457
196	-3.36351	0.00276122	17.1023	0.00215474
197	-3.37363	0.00269625	17.1298	0.00210738
198	-3.38241	0.0027273	17.1471	0.00212293
199	-3.38623	0.00270599	17.1651	0.00211089
200	-3.39489	0.00290458	17.1777	0.00221943
201	-3.39787	0.00283146	17.1917	0.00218289
202	-3.401	0.00285909	17.2009	0.00219495
203	-3.40598	0.00283202	17.2129	0.00219994
204	-3.41	0.00271833	17.2207	0.00211743
205	-3.40946	0.00271955	17.23	0.00212866
206	-3.41342	0.00280491	17.2359	0.0021891
207	-3.4191	0.00280703	17.2447	0.00218705
208	-3.42188	0.00277979	17.2513	0.00217966
209	-3.42441	0.00274799	17.2582	0.00214753
210	-3.42705	0.002825	17.264	0.00221692
211	-3.42905	0.00267974	17.2713	0.00211227
212	-3.43264	0.00267237	17.275	0.00210893
213	-3.43395	0.0028116	17.2825	0.00219481
214	-3.43697	0.00265962	17.2869	0.00209382
215	-3.43762	0.0026316	17.2942	0.00207027
216	-3.44167	0.00271289	17.2959	0.0021226
217	-3.44259	0.0027474	17.3042	0.00215518
218	-3.44472	0.00258712	17.3059	0.00203472
219	-3.44614	0.00269579	17.3138	0.00210299
220	-3.44656	0.00272577	17.3134	0.00212847
221	-3.44723	0.00270573	17.3216	0.00212127
222	-3.45215	0.00269432	17.3217	0.0021071
223	-3.44853	0.00267975	17.328	0.0020891
224	-3.45237	0.00273693	17.3233	0.00213704
225	-3.44947	0.00269575	17.3319	0.00210074
226	-3.45212	0.00260312	17.3296	0.00204466
227	-3.45122	0.00276386	17.3369	0.0021453
228	-3.45524	0.00269468	17.3385	0.00210649
229	-3.45485	0.00271399	17.3407	0.00211282
230	-3.45581	0.00263449	17.3467	0.00207208
231	-3.45572	0.00271309	17.3452	0.00212519
232	-3.45798	0.00267026	17.3512	0.00208817
233	-3.45977	0.00271751	17.3549	0.00211795
234	-3.46092	0.00262862	17.3582	0.00206345
235	-3.46255	0.00265652	17.3599	0.00208328
236	-3.46353	0.00263671	17.3638	0.00206757
237	-3.46474	0.00253957	17.3674	0.00201033
238	-3.46628	0.00262599	17.3714	0.00207866
239	-3.46678	0.00255857	17.3763	0.00202593
240	-3.4686	0.00261927	17.3748	0.0020662
241	-3.46842	0.00265066	17.3809	0.00209118
242	-3.47388	0.0026253	17.3851	0.00207895
243	-3.48279	0.00257575	17.3863	0.00203661
244	-3.47275	0.00265759	17.3967	0.00208325
245	-3.47601	0.00253273	17.3901	0.00201436
246	-3.46948	0.00267634	17.4007	0.00210581
247	-3.47572	0.00260066	17.3985	0.00205129
248	-3.48057	0.0026206	17.4021	0.00206421
249	-3.48046	0.00256441	17.401	0.00203505
250	-3.4804	0.00263933	17.4078	0.00208236
251	-3.48239	0.00266348	17.4069	0.00208832
252	-3.48288	0.00255134	17.414	0.00202131
253	-3.48286	0.00256361	17.413	0.00203208
254	-3.48292	0.00255017	17.4157	0.00202695
255	-3.4831	0.00269747	17.4194	0.00211688
256	-3.4853	0.00274277	17.4223	0.00213698
257	-3.48666	0.00279254	17.4231	0.00216877
258	-3.51647	0.00273654	17.5016	0.00215714
259	-3.75303	0.00283454	18.0962	0.0022167
260	-4.07743	0.00255104	18.9143	0.00206028
261	-4.28271	0.00305369	19.4138	0.00238642
262	-4.42936	0.00273087	19.7597	0.00221724
263	-4.70712	0.00258545	20.3926	0.00213033
264	-4.95132	0.00279076	20.9436	0.00229244
265	-5.13019	0.00278345	21.3243	0.00230127
266	-5.26172	0.00293685	21.6081	0.00238322
267	-5.35773	0.00273266	21.8067	0.00224102
268	-5.42163	0.00267441	21.9446	0.00222451
269	-5.52915	0.0027769	22.1598	0.00230295
270	-5.69171	0.00278169	22.4868	0.00232067
271	-5.81176	0.00263718	22.7353	0.00223091
272	-5.9019	0.00287608	22.9096	0.00239327
273	-5.96833	0.00295398	23.0424	0.0024313
274	-6.02904	0.00283667	23.1522	0.00239849
275	-6.13819	0.00280733	23.3657	0.00235514
276	-6.23687	0.00297563	23.5498	0.00247022
277	-6.3099	0.00278612	23.6962	0.00236021
278	-6.37271	0.00283962	23.8034	0.00239932
279	-6.4132	0.00270841	23.8865	0.00231924
280	-6.44702	0.0029166	23.9543	0.00245755
281	-6.53383	0.00302226	24.1136	0.00252856
282	-6.65879	0.00282633	24.3342	0.00241913
283	-6.75282	0.0029739	24.518	0.00250821
284	-6.8291	0.00288658	24.6574	0.00247048
285	-6.91852	0.0026885	24.8134	0.00234051
286	-7.05622	0.00280852	25.0523	0.00241758
287	-7.18175	0.00285417	25.2719	0.00246188
288	-7.27109	0.00281775	25.4317	0.00245337
289	-7.33436	0.00279866	25.5395	0.00243409
290	-7.38911	0.00265024	25.6291	0.00231715
291	-7.42369	0.0028616	25.6937	0.00246097
292	-7.45348	0.00285136	25.7442	0.00243572
293	-7.48039	0.00286624	25.7934	0.00244265
294	-7.50124	0.00286344	25.8263	0.00244452
295	-7.5177	0.00268211	25.8569	0.0023337
296	-7.53672	0.00270857	25.8822	0.00236211
297	-7.55323	0.00281699	25.9112	0.00242676
298	-7.5692	0.00287543	25.9356	0.00247707
299	-7.57973	0.00284212	25.9614	0.00244942
300	-7.58886	0.00285496	25.9738	0.00244421
301	-7.60252	0.00283487	25.9999	0.00242301
302	-7.61379	0.00277196	26.0133	0.00239419
303	-7.62506	0.00280366	26.0353	0.00242083
304	-7.63538	0.00283644	26.0491	0.00245415
305	-7.64867	0.00276156	26.0696	0.00240319
306	-7.6576	0.00270489	26.085	0.00236786
307	-7.66733	0.0028282	26.1024	0.00245643
308	-7.6762	0.00276556	26.1153	0.00242325
309	-7.68452	0.00280478	26.1305	0.00245427
310	-7.69331	0.00289602	26.1436	0.00247719
311	-7.70035	0.0027339	26.1593	0.00240274
312	-7.71066	0.00278207	26.1694	0.00242547
313	-7.71778	0.00277038	26.1887	0.00241453
314	-7.72604	0.00277359	26.198	0.00241124
315	-7.73448	0.00265863	26.2166	0.0023377
316	-7.74264	0.00263783	26.2262	0.0023217
317	-7.74947	0.00269373	26.2421	0.00235976
