	Point 1 (Reference Step: 0)		Point 1 (Reference Step: 0)		Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
81	0.0121466	0.00330112	-0.0308616	0.00217153	0.00784218	0.00272646	-0.0209807	0.00183123
82	0.0130838	0.00381042	-0.0411502	0.00249961	0.00718031	0.00322627	-0.0343164	0.00213662
83	0.0127144	0.00343449	-0.0332866	0.00226543	0.00959932	0.00285313	-0.0237431	0.00192512
84	0.00947915	0.0035426	-0.0369114	0.00235529	0.00530974	0.00297587	-0.0295306	0.0019824
85	0.0138999	0.00368898	-0.0385578	0.00238541	0.00811438	0.0031006	-0.0298723	0.00206847
86	0.012517	0.00349132	-0.0280995	0.00227875	0.00659342	0.00265282	-0.0242208	0.00179427
87	0.0108809	0.0036624	-0.0417136	0.00238261	0.00831765	0.00331567	-0.0345542	0.0021854
88	0.0123577	0.00347677	-0.034301	0.00229269	0.00579733	0.00292817	-0.0231966	0.00195988
89	0.00944644	0.00383505	-0.0463678	0.00247929	0.00822441	0.00350479	-0.0348669	0.00228552
90	0.0144995	0.00366012	-0.0422782	0.00239893	0.00815935	0.00299542	-0.0291999	0.0020137
91	0.0136213	0.00379502	-0.0461993	0.00248685	0.00650553	0.00340377	-0.0344952	0.00224684
92	0.0189754	0.00392518	-0.0478629	0.00253049	0.0115089	0.00341628	-0.0368067	0.00223957
93	0.0164333	0.00391041	-0.051867	0.00255054	0.012975	0.00339448	-0.0368594	0.0022248
94	0.0166828	0.00387763	-0.0534156	0.00254388	0.0101885	0.00352141	-0.0384188	0.00228126
95	0.0167636	0.00377238	-0.0498812	0.00244471	0.0106187	0.00341782	-0.0367219	0.00224234
96	0.0165681	0.00404257	-0.0540833	0.0026087	0.0121675	0.00351168	-0.0393187	0.00229184
97	0.0203191	0.00370144	-0.0531995	0.00245008	0.01043	0.0035469	-0.0390409	0.0022983
98	0.0164363	0.00374748	-0.0511036	0.00247911	0.00994057	0.00357788	-0.0356851	0.00232958
99	0.0122794	0.00386217	-0.0529225	0.00250233	0.00924849	0.00357463	-0.0401065	0.0023145
100	0.0122057	0.0037209	-0.0529669	0.00244713	0.0101374	0.00344002	-0.0369413	0.00226905
101	0.0128202	0.00383946	-0.0524284	0.00253902	0.00834651	0.00359646	-0.0360221	0.00233663
102	0.0159846	0.00380524	-0.0537403	0.00248282	0.0101545	0.00352742	-0.037539	0.00229234
103	0.0146538	0.00374984	-0.0555456	0.00248438	0.00914681	0.00339647	-0.0397542	0.00223342
104	0.0144241	0.00379457	-0.0554242	0.00249801	0.0109537	0.00347371	-0.0408657	0.00226582
105	0.0144303	0.00364138	-0.0535127	0.00242076	0.00991257	0.00345027	-0.0381744	0.00226553
106	0.016049	0.00391002	-0.0549786	0.0025472	0.0124525	0.00358555	-0.0427765	0.00233579
107	0.0150499	0.00382895	-0.0553365	0.00250504	0.0133672	0.00357141	-0.0381692	0.00232555
108	0.0162778	0.00391389	-0.0604106	0.00251949	0.0103544	0.00363626	-0.041859	0.00236293
109	0.016401	0.00394772	-0.0524778	0.00255924	0.0121413	0.00353777	-0.0402409	0.00229955
110	0.0152271	0.00396436	-0.0574322	0.00258484	0.0111806	0.00367982	-0.0451497	0.00236892
111	0.0142777	0.00372288	-0.0549059	0.00244187	0.0115657	0.00342112	-0.0373367	0.00225504
112	0.0183831	0.00378777	-0.0617876	0.00250104	0.0105392	0.00383797	-0.0466965	0.00243718
113	0.0171863	0.00371972	-0.0555968	0.00245819	0.0125877	0.00352509	-0.040349	0.00229919
114	0.0156711	0.00372023	-0.0611919	0.00245092	0.011872	0.0036221	-0.0466108	0.00234934
115	0.0180667	0.00397476	-0.0555732	0.00258428	0.0116577	0.00351275	-0.0387605	0.00229731
116	0.0145593	0.00386546	-0.063367	0.00251404	0.00997382	0.00393655	-0.0488682	0.00249563
117	0.0178643	0.00366509	-0.0580427	0.0024346	0.0124428	0.00364346	-0.0418437	0.00236023
118	0.0206953	0.00393549	-0.0650851	0.00254603	0.0128023	0.00373909	-0.0481547	0.00240606
119	0.0183991	0.00386413	-0.0593393	0.00251793	0.0133097	0.00367526	-0.0421665	0.00237486
120	0.0169213	0.00393451	-0.0666411	0.00256868	0.0128228	0.0038409	-0.047803	0.00243481
121	0.0215209	0.00385841	-0.0597841	0.00250879	0.0134946	0.00362153	-0.0427377	0.00235299
122	0.0105068	0.00391427	-0.0662691	0.0025515	0.0138012	0.00379804	-0.0486345	0.00242917
123	0.0197622	0.00386941	-0.0590139	0.00252429	0.0137762	0.00368262	-0.0401718	0.00237159
124	0.0145449	0.00388653	-0.068437	0.00252845	0.0118604	0.0037785	-0.0481311	0.00241191
125	0.0188296	0.00396649	-0.0594063	0.00260041	0.0114181	0.00367551	-0.0437801	0.00235677
126	0.0181881	0.00398047	-0.0674993	0.00257339	0.0125742	0.00379466	-0.0478869	0.00242826
127	0.0172208	0.00382177	-0.0627733	0.00251748	0.0132652	0.00369403	-0.045411	0.00237246
128	0.0209127	0.00400377	-0.0624145	0.00260356	0.0136396	0.00378648	-0.0448276	0.0024156
