	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
267	-4.58795	0.00239581	18.6646	0.00149776
268	-4.58856	0.00247011	18.671	0.00153478
269	-4.5901	0.00246559	18.6737	0.00153999
270	-4.59327	0.00249822	18.6804	0.00154795
271	-4.62827	0.00215774	18.7453	0.00137809
272	-4.76662	0.00226143	19.0568	0.00143609
273	-4.9304	0.00221474	19.4312	0.00143641
274	-5.05489	0.00226194	19.7059	0.00144162
275	-5.16766	0.00213258	19.9401	0.00137399
276	-5.28765	0.00212759	20.1865	0.00138652
277	-5.38228	0.0022348	20.3838	0.00146672
278	-5.46137	0.00229476	20.5569	0.00148988
279	-5.59371	0.00234708	20.8206	0.00150852
280	-5.71801	0.00224095	21.0717	0.00145988
281	-5.81539	0.00224184	21.263	0.00146858
282	-5.89156	0.00224286	21.4088	0.00147771
283	-5.9463	0.00222463	21.5216	0.00145435
284	-5.99963	0.00237644	21.6229	0.00153995
285	-6.08301	0.00224127	21.7865	0.00146835
286	-6.16125	0.00222452	21.9319	0.00147948
287	-6.22228	0.00224042	22.0551	0.00147231
288	-6.32962	0.00231155	22.2539	0.0015316
289	-6.57738	0.00221649	22.7293	0.00148224
290	-6.77514	0.00212383	23.0904	0.00141543
291	-6.93174	0.00216963	23.3662	0.00143788
292	-7.0308	0.00228326	23.5563	0.0015335
293	-7.12129	0.00219265	23.7216	0.00148762
294	-7.27051	0.00219386	23.9786	0.00148748
295	-7.40599	0.0022599	24.2116	0.00152993
296	-7.51307	0.00216739	24.3876	0.00147518
297	-7.59499	0.0022019	24.5214	0.00149257
298	-7.65214	0.00215706	24.6216	0.00147561
299	-7.70242	0.0021912	24.6966	0.00147826
300	-7.75422	0.00229112	24.7873	0.00154719
301	-7.82916	0.00219774	24.917	0.00150573
302	-7.90358	0.00208352	25.0367	0.00143143
303	-7.95779	0.00219158	25.1365	0.00149376
304	-8.0177	0.00233331	25.2075	0.00158492
305	-8.0457	0.00218316	25.2723	0.00148912
306	-8.11338	0.00225699	25.3834	0.00151538
307	-8.19376	0.00218359	25.5082	0.00150718
308	-8.25625	0.00227163	25.6032	0.00154999
309	-8.30539	0.00215378	25.689	0.00148772
310	-8.3451	0.00223216	25.7521	0.0015342
311	-8.38316	0.00219058	25.8072	0.0014992
312	-8.42	0.00226914	25.8683	0.00155363
313	-8.51079	0.00226613	26.0075	0.00155992
314	-8.61345	0.00217945	26.1758	0.00150727
315	-8.69367	0.00215105	26.3	0.00149426
316	-8.75375	0.00232818	26.3932	0.00160124
317	-8.80328	0.00210477	26.468	0.00145575
318	-8.84281	0.00222337	26.5309	0.00154725
319	-8.87343	0.00223178	26.577	0.00153852
320	-8.90122	0.00215878	26.6205	0.00150176
321	-8.92277	0.0022029	26.6509	0.00153036
322	-8.95427	0.00216887	26.704	0.00151055
323	-9.0177	0.00223313	26.7995	0.00156634
324	-9.08369	0.00223035	26.8906	0.00154869
325	-9.13327	0.00225919	26.9684	0.00156919
326	-9.18103	0.0021706	27.0378	0.00152978
327	-9.21793	0.00211298	27.0945	0.00147662
328	-9.25341	0.0023021	27.1433	0.00160051
329	-9.2742	0.0022233	27.1845	0.00155982
330	-9.29612	0.00210395	27.2204	0.00148114
331	-9.32272	0.00200081	27.2534	0.00141056
332	-9.34309	0.00224824	27.2803	0.00158627
333	-9.35775	0.00228918	27.3032	0.00160364
334	-9.37043	0.00227911	27.3258	0.00159727
335	-9.38245	0.00222822	27.3473	0.00156403
